Name,Price,Description,Reviews,Rating,Image URL
"Noise Pulse Go Buzz Smart Watch with Advanced Bluetooth Calling, 1.69"" TFT Display, SpO2, 100 Sports Mode with Auto Detection, Upto 7 Days Battery (2 Days with Heavy Calling) - Rose Pink","₹1,099.","['Sharp and bright display: The 1.69’’ TFT display with 240*280px and 500 nits brightness ensures visual treat every time you look at the watch.', 'Tru Sync: Experience fast and stable connectivity with low power consumption.', 'BT calling: Stay in touch with your friends - right from your wrist. Battery Capacity : 300mAh', 'Utility features: Use the utility features at your disposal and become more productive - get hand wash reminders, idle alert and drink water reminder, weather forecast, set alarms and more.', 'Noise Health Suite: Lead a better life with the battery of wellness features available in Noise Health Suite.', '150+ cloud-based & customised watch faces: Style your watch the way you like to – choose from 150 cloud-based & customised watch faces.', '100 sports modes with auto sports detection: Stay active and track all that you are doing with auto sports detection mode.', 'IP68 water resistance: Get ready for everything life throws, with the IP68 water-resistance rating.', 'Up to 7 days of battery life as per the usage. Get up to 2 days of battery life when calling is enabled.', '5 colours: Know your colour and choose it from 5 classic colours.']","26,639 ratings",4.1 out of 5 stars,https://m.media-amazon.com/images/I/418tFshxkJL._SX300_SY300_QL70_ML2_.jpg
"Noise Quad Call 1.81"" Display, Bluetooth Calling Smart Watch, AI Voice Assistance, 160+Hrs Battery Life, Metallic Build, in-Built Games, 100 Sports Modes, 100+ Watch Faces (Elite Silver)","₹1,499.","['1.81 inches(4.59cms) TFT display, 240*280px, Always on display - No, 550 nits brightness - Enjoy clear and vibrant visuals on its big and bright TFT display.', 'Up to 7-day battery life - Get up to 7 days of battery life & up to 2 days of power with calling activated. (Battery life can vary due to multiple factors such as turning on continuous HR tracking or turning up the brightness)', 'Charging - The smartwatch features a 260mAh battery that takes approx. 2.5 hours to fully charge. It is recommended that you use a 5W power adapter. Please avoid using a fast-charging adapter to prevent future watch damage.', 'Music playback - The smartwatch features a remote music control feature that lets you control music played on your phone as long as your smartphone and smartwatch are in Bluetooth range. However, it cannot be used to store music.', 'Volume control - You can control the volume both during music playback and while attending calls. The watch can also play music out loud due to the presence of an in-built mic and speaker.', 'NoiseFit app - Pair the smartwatch to the app to track your progress overtime, get health updates, compete with friends and share your achievements.', 'Bluetooth calling - Experience an advanced calling experience with the addition of Bluetooth calling.']","115,955 ratings",4.0 out of 5 stars,https://m.media-amazon.com/images/I/41Et1H-CpvL._SX300_SY300_QL70_ML2_.jpg
"Noise Vivid Call 2 Smart Watch with 1.85” HD Display, BT Calling, IP68 Waterproof, 7 Days Battery Life, Sleep Tracking, 150+ Watch Faces (Jet Black)","₹1,099.","['Bluetooth calling - Experience hands-free living with the calling functionality on your wrist. With Noise Buzz, you can now access call logs and your dial pad.', '1.85” display - Get a clearer and bolder viewing experience indoors and outdoors.', 'NoiseFit Prime app - Connect with NoiseFit Prime app to keep a check on your health metrics, select new watch faces, track your workout and a lot more!', '150+ watch faces - Choose from up to 150+ watch faces for a new style every day.', 'Noise Health Suite - Track your heart rate, blood oxygen, sleep and stress levels to stay ahead in your fitness game.', 'AI voice assistant - Take it easy and use voice commands for convenience.', '7 days of battery life - Nothing can come between you and your smartwatch with a long-lasting battery life that brings an uninterrupted week of usage!']",145 ratings,4.1 out of 5 stars,https://m.media-amazon.com/images/I/4169mZ4+L7L._SY300_SX300_.jpg
"Noise Newly Launched Quad Call 1.81"" Display, Bluetooth Calling Smart Watch, AI Voice Assistance, 160+Hrs Battery Life, Metallic Build, in-Built Games, 100 Sports Modes, 100+ Watch Faces (Rose Pink)","₹1,149.","['1.81 inches(4.59cms) TFT display, 240*280px, Always on display - No, 550 nits brightness - Enjoy clear and vibrant visuals on its big and bright TFT display.', 'Up to 7-day battery life - Get up to 7 days of battery life & up to 2 days of power with calling activated. (Battery life can vary due to multiple factors such as turning on continuous HR tracking or turning up the brightness)', 'Charging -\xa0 The smartwatch features a 260mAh battery that takes approx. 2.5 hours to fully charge. It is recommended that you use a 5W power adapter. Please avoid using a fast-charging adapter to prevent future watch damage.', 'Music playback - The smartwatch features a remote music control feature that lets you control music played on your phone as long as your smartphone and smartwatch are in Bluetooth range. However, it cannot be used to store music.', 'Volume control - You can control the volume both during music playback and while attending calls. The watch can also play music out loud due to the presence of an in-built mic and speaker.', 'NoiseFit app - Pair the smartwatch to the app to track your progress overtime, get health updates, compete with friends and share your achievements.', 'Bluetooth calling - Experience an advanced calling experience with the addition of Bluetooth calling.', 'Health & fitness features - Pursue an active lifestyle with Noise Health SuiteTM, 100 sports modes and IP67 water resistance.', 'Additional features - Make the most of 100+ cloud based watch faces, AI voice assistant & some in-built games.', 'In-the-box - The contents in-the-box include the ColorFit Quad Call smartwatch, a magnetic charging cable & the user manual.']","115,955 ratings",4.0 out of 5 stars,https://m.media-amazon.com/images/I/41uvgRrtK3L._SX300_SY300_QL70_ML2_.jpg
"Noise Newly Launched Quad Call 1.81"" Display, Bluetooth Calling Smart Watch, AI Voice Assistance, 160+Hrs Battery Life, Metallic Build, in-Built Games, 100 Sports Modes, 100+ Watch Faces (Jet Black)","₹1,149.","['1.81 inches(4.59cms) TFT display, 240*280px, Always on display - No, 550 nits brightness - Enjoy clear and vibrant visuals on its big and bright TFT display.', 'Up to 7-day battery life - Get up to 7 days of battery life & up to 2 days of power with calling activated. (Battery life can vary due to multiple factors such as turning on continuous HR tracking or turning up the brightness)', 'Charging -\xa0 The smartwatch features a 260mAh battery that takes approx. 2.5 hours to fully charge. It is recommended that you use a 5W power adapter. Please avoid using a fast-charging adapter to prevent future watch damage.', 'Music playback - The smartwatch features a remote music control feature that lets you control music played on your phone as long as your smartphone and smartwatch are in Bluetooth range. However, it cannot be used to store music.', 'Volume control - You can control the volume both during music playback and while attending calls. The watch can also play music out loud due to the presence of an in-built mic and speaker.', 'NoiseFit app - Pair the smartwatch to the app to track your progress overtime, get health updates, compete with friends and share your achievements.', 'Bluetooth calling - Experience an advanced calling experience with the addition of Bluetooth calling.', 'Health & fitness features - Pursue an active lifestyle with Noise Health SuiteTM, 100 sports modes and IP67 water resistance.', 'Additional features - Make the most of 100+ cloud based watch faces, AI voice assistant & some in-built games.', 'In-the-box - The contents in-the-box include the ColorFit Quad Call smartwatch, a magnetic charging cable & the user manual.']","115,955 ratings",4.0 out of 5 stars,https://m.media-amazon.com/images/I/41f-6BEDVIL._SX300_SY300_QL70_ML2_.jpg
"Noise Vivid Call 2 Smart Watch with 1.85” HD Display, BT Calling, IP68 Waterproof, 7 Days Battery Life, Sleep Tracking, 150+ Watch Faces (Elite Black)","₹1,499.","['Bluetooth calling - Experience hands-free living with the calling functionality on your wrist. With Noise Buzz, you can now access call logs and your dial pad.', '1.85” display - Get a clearer and bolder viewing experience indoors and outdoors.', 'NoiseFit Prime app - Connect with NoiseFit Prime app to keep a check on your health metrics, select new watch faces, track your workout and a lot more!', '150+ watch faces - Choose from up to 150+ watch faces for a new style every day.', 'Noise Health Suite - Track your heart rate, blood oxygen, sleep and stress levels to stay ahead in your fitness game.', 'AI voice assistant - Take it easy and use voice commands for convenience.', '7 days of battery life - Nothing can come between you and your smartwatch with a long-lasting battery life that brings an uninterrupted week of usage!']",145 ratings,4.1 out of 5 stars,https://m.media-amazon.com/images/I/41qKdlz2JhL._SX300_SY300_QL70_ML2_.jpg
"Noise Newly Launched Endeavour Rugged Design 1.46"" AMOLED Display Smart Watch, BT Calling, SoS Feature, Rapid Health & 100+ Sports Modes- (Teal Blue)","₹2,799.","['AMOLED Always On Display: Watch your world come to life on a remarkable display that lets you see your stats in sheer clarity', 'Sturdy design: Featuring an impact-resistant build, the smartwatch is designed to be sporty and sturdy.', 'SoS technology: Activates emergency call to your favorite contact when SOS button is pressed 5 times', 'Bluetooth calling: Live hands-free by making calls directly from your wrist. You can access the dial pad, check your call logs and save 10 contacts on the watch.', '600 nits brightness: Enjoy easy outdoor viewing, even in the bright sun.', 'Noise Health SuiteTM: Take better care of your daily health with a series of health monitoring tools – Blood oxygen monitor, Sleep monitor, 24x7 heart rate monitor, Breathing practice & Female cycle tracker', 'Multiple sports modes: Indulge in the routine of your preference with several sports modes to choose from.', 'Up to 7-day battery: Breeze through an entire week without charging with up to 7 days of battery life. Get up to 2 days of battery life with calling activated.', '100+ watch faces: Opt for a new background everyday with a host of fun and trendy watch faces.', 'Productivity Suite: Take your daily productivity to the next level - reminder, weather, world clock, alarm, stopwatch & timer.']",228 ratings,4.2 out of 5 stars,https://m.media-amazon.com/images/I/411A8jbK8-L._SX300_SY300_QL70_ML2_.jpg
"Fire-Boltt Gladiator 1.96"" Biggest Display Smart Watch with Bluetooth Calling, Voice Assistant &123 Sports Modes, 8 Unique UI Interactions, SpO2, 24/7 Heart Rate Tracking (Black)","₹1,399.","['Largest 1.96"" Display : View bigger on the screen with the industry’s largest 1.96"" display covering every edge possible and providing a crystal-clear resolution of 240*282 pixels. 500 Nits Peak Brightness', 'The watch will work on a single charge for about 7 days (without Bluetooth calling) and about 3 Days with Bluetooth calling. Bluetooth Calling Smartwatch - Enjoy seamless connection and bluetooth calling through Fire-Boltt Gladiator Smart Watch', 'Charging Specs - The watch needs to be charged for 3 hours to reach 100%. The charger should be a 3.7V to 5V adapter or any laptop output. For a bare minimum of 20% charge the watch needs to be charged for about 30-40 mins', 'Music Cannot be stored on the watch. Music can be only controlled through the watch. AI Voice Assistant - Now Wake Up Google/Siri Voice Assistant on your phone through the watch.', '123 Sports Modes To Track - Track each activity in more detail and record the statistics everyday and compare the history of 7 days to know your best results.', 'Supported Applications - Notifcations from all social media channels (Instagram, Whatsapp, Facebook), Call Notifications, Health Tracking (SpO2, Heart Rate, Sleep), Sports Tracking & many more (This is not a medical device)', '8 Unique UI Modes - Now Switch your UI viewing method basis your mood and preference. Choose from over 8 different & stylish forms in the watch', 'In Built Speaker & Microphone - With Latest Technology and Chipset the speaker and microphone are very strong and clear for excellent quality calls, listen to music on the watch as well.', 'Multiple Notifications - Make sure you do not miss out important updates, birthdays or colleagues messages, enable all the social notifications on the watch to stay connected', 'Play Games - Enjoy small games on the smart watch in your leisure time. Change watch faces through the app with over 100 cloud based watch faces. Package COntains - 1 Smartwatch, 1 Charging Cable, 1 Manual, 1 Warranty Card']","6,690 ratings",4.1 out of 5 stars,https://m.media-amazon.com/images/I/51vHAEYKeWL._SX300_SY300_QL70_ML2_.jpg
"Fire-Boltt Visionary 1.78"" AMOLED Bluetooth Calling Smartwatch with 368 * 448 Pixel Resolution, Rotating Crown & 60Hz Refresh Rate 100+ Sports Mode, TWS Connection, Voice Assistance (Black)","₹2,499.","['【1.78"" AMOLED Display】 - Fire-Boltt Visionary has a premium 368*448 Pixel Resolution and 1.78"" AMOLED Display which comes with the Always On feature. The watch has 700 NITS Peak Brightness to beat the sun rays and shine brighter', '【 Battery Life】- The watch can work for 2 Days with Bluetooth Calling ( Normal Usage )*, 5 Days without Bluetooth Calling & Always On Display. System requirements: Bluetooth version 5.0 and above. IOS 7.0 and above, Android version 4.4 and above.', 'Charging Specs - The watch needs to be charged for 3 hours to reach 100%. The charger should be a 3.7V to 5V adapter or any laptop output. For a bare minimum of 20% charge the watch needs to be charged for about 30-40 mins', '【Connect TWS On The Go】- This smartwatch has an internal storage memory of about 128MB to store your songs and listen to local music on your bluetooth headset', 'There is no volume control, however when connected to bt calling you can control the volume of the call. 【AI Voice Assistance】- Command your watch and let the magic happen. This special technology is in the Fire-Boltt Visionary Smartwatch;', 'Supported Applications - Notifcations from all social media channels (Instagram, Whatsapp, Facebook), Call Notifications, Health Tracking (SpO2, Heart Rate, Sleep), Sports Tracking & many more', '【IP68 Water Resistant】 - The smartwatch is fit to withstand sweat, dust, dirt and sand and is resistant to submersion upto a maximum depth of 1m of freshwater for up to twenty minutes.;', ""Remote Controls】 - Click numerous pictures and listen to your favourite songs by just one touch. 【Basic Reminders】 - Don't drink water or walk in normal breaks we have got you covered in that too with the sedentary reminders you will alwasy stay hydrated and will walk good, a step to a healthy life"", '【Bluetooth Calling Watch】- Fire-Boltt Visionary enables you to make and receive calls directly from your watch via the built-in speaker and microphone. This smartwatch features a dial pad option to access recent calls & sync your phone’s contacts']","22,628 ratings",4.2 out of 5 stars,https://m.media-amazon.com/images/I/41r1d8a2WGL._SX300_SY300_QL70_ML2_.jpg
"Fire-Boltt Jewel, Luxury Stainless Steel Smart Watch with a 1.85"" Display Boasting 320x386 Resolution and 600 NITS Brightness, 60 HZ Refresh Rate, 120 Sports Modes, IP67 Rating","₹2,799.","['Crystal-clear Display- With its 1.85"" IPS display, the Jewel smartwatch emits crystal-clear visuals at 320x386 resolution and a dazzling 600 NITS brightness, ensuring you never miss a detail in any lighting.', 'Exquisite Stainless Steel Strap & Zinc Alloy Frame- Elevate your style with Jewel smartwatch that exudes elegance, featuring a premium stainless steel strap and a meticulously crafted zinc alloy frame.', 'Seamless BT Calling & Voice Assistance- Enjoy seamless Bluetooth calling and quick access to voice assistance, making every interaction effortless and hands-free. Have quick access without reaching for your smartphone.', ""120 Sports Modes- Whether you're a fitness enthusiast or a professional athlete, the Jewel smartwatch offers 120 sports modes to track and enhance your performance in every activity."", 'Comprehensive Health Monitoring- Take charge of your well-being with comprehensive health monitoring, including heart rate, sleep quality, and stress levels, providing valuable insights into your overall health. (This is not a medical device).', ""IP67 Water Resistance- Don't let a little rain or a splash of water hold you back. The Jewel smartwatch boasts an IP67 rating, making it water-resistant and ready for any adventure."", 'Battery Life & Charging Specs- Enjoy extended usage with a high-capacity 250 mAh battery, ensuring your smartwatch stays powered up throughout your busy day. The watch needs to be charged for 3 hours to reach 100%. The charger should be a 3.7V to 5V adapter or any laptop output. For a bare minimum of 20% charge the watch needs to be charged for about 30-40 mins.', 'Ample Memory- With 128 MB of memory, the Jewel smartwatch has enough storage capacity you need for your apps, music, and more.', 'Smart Notifications With In-built Games- Stay informed with smart notifications while also entertaining yourself with in-built games, adding a touch of fun to your day.', 'In the box- 1U Smartwatch, 1U Charging Cable, 1U Warranty, 1U Manual.']",899 ratings,4.1 out of 5 stars,https://m.media-amazon.com/images/I/41cmnDu+OmL._SY300_SX300_.jpg
"Noise Twist Round dial Smart Watch with Bluetooth Calling, 1.38"" TFT Display, up-to 7 Days Battery, 100+ Watch Faces, IP68, Heart Rate Monitor, Sleep Tracking (Jet Black)","₹1,199.","['1.38” TFT display: Featuring a vibrant round display and a stylish metallic finish, the smartwatch offers a premium on-screen experience.', 'Tru SyncTM: Hassle-free pairing, stable connectivity and lower battery consumption combine to provide the most advanced calling experience.', 'Noise Buzz: Manage calls directly from your wrist. Access your call logs, make calls from the dial pad and save up to 10 favourite contacts.', 'Noise Health SuiteTM: Take better care of your daily health with a series of health monitoring tools – Blood oxygen monitor, Sleep monitor, 24x7 heart rate monitor, Stress measurement, Breathe practice & Female cycle tracker.', '100 sports modes: Indulge in the routine of your preference with several sports modes to choose from.', 'Up to 7-day battery: Breeze through an entire week without charging with up to 7 days of battery life. Get up to 2 days of battery life when calling in enabled.', '100+ watch faces: A series of fun and trendy watch faces let you swap into a new background every day.', 'Productivity Suite: Increase your daily productivity with a number of features - call, SMS & app notifications, reminder, calculator, weather, quick reply, smart DND, world clock, alarm, stopwatch & timer.', 'IP68 water resistance: Stay protected from splashes, dust and moisture at all times.']","16,532 ratings",4.0 out of 5 stars,https://m.media-amazon.com/images/I/41Hr4Mn6pCL._SX300_SY300_QL70_ML2_.jpg
"Noise Halo Plus Elite Edition Smartwatch with 1.46"" Super AMOLED Display, Stainless Steel Finish Metallic Straps, 4-Stage Sleep Tracker, Smart Watch for Men and Women (Elite Blue","₹3,499.","['1.46 inches (3.7cms) AMOLED display, 466*466px, Always on display - Yes - Enjoy clear and immersive visuals on its round AMOLED display.', 'Up to 7-day battery life - Get up to 7 days of battery life & up to 2 days of power with calling activated. (Battery life can vary due to multiple factors such as turning on continuous HR tracking or turning up the brightness)', 'Charging - The smartwatch comes with a 300mAh battery that takes approx. 2 hours to fully charge. It is recommended that you use a 5W power adapter. Please avoid using a fast-charging adapter to prevent future watch damage.', 'Music playback - The smartwatch features remote music control that lets you control music played on your phone as long as your smartphone and smartwatch are in Bluetooth range. However, it cannot be used to store music.', 'Volume control - You can control the volume both during music playback and while attending calls.', 'NoiseFit app - Pair the smartwatch to the app to track your progress overtime, get health updates, compete with friends and share your achievements.', 'Bluetooth calling - Experience advanced calling with the addition of Tru SyncTM powered Bluetooth calling.', 'Health & fitness features - Pursue an active lifestyle with Noise Health SuiteTM, 100 sports modes and IP68 water resistance.', 'Additional features - Make the most of 100+ cloud based watch faces and explore several productivity tools including - reminder, weather, calculator, quick replies, alarm, timer, stopwatch & world clock.', 'In-the-box - The contents in-the-box include the NoiseFit Halo Plus smartwatch, a magnetic charging cable, strap tool kit & the user manual.']","8,027 ratings",4.1 out of 5 stars,https://m.media-amazon.com/images/I/41BCEyNR3RL._SX300_SY300_QL70_ML2_.jpg
"Noise Twist Go Round dial Smartwatch with BT Calling, 1.39"" Display, Metal Build, 100+ Watch Faces, IP68, Sleep Tracking, 100+ Sports Modes, 24/7 Heart Rate Monitoring (Jet Black)","₹1,599.","['Metal build: Discover the perfect blend of sophistication and innovation featuring a glossy metal build and a sleek dial.', '1.39"" display: See every detail come to life on your wrist.', 'BT Calling: Stay connected on the go making every call effortlessly convenient.', 'NoiseFit app: Connect with the NoiseFit app where your health data and privacy are always protected. Unlock your peak potential by participating in challenges, track your progress, and keep pushing your limits with a community of fitness enthusiasts.', 'Productivity suite- Maximise efficiency with minimal effort thanks to an assortment of features like voice assistance, calculator, weather, and music control.', 'Multiple straps and style options: Effortlessly switch between looks to complement every occasion.', 'What’s in the box: The contents in the box include the ColorFit Twist Go smartwatch, a charging cable, and a user manual.']","16,532 ratings",4.0 out of 5 stars,https://m.media-amazon.com/images/I/41g7CijFWDL._SX300_SY300_QL70_ML2_.jpg
"Fire-Boltt Phoenix Smart Watch with Bluetooth Calling 1.3"",120+ Sports Modes, 240 * 240 PX High Res with SpO2, Heart Rate Monitoring & IP67 Rating (Silver Grey)","₹1,199.","['【High Resolution Display】- Comes with a 1.3"" TFT Color Full Touch Screen and a 240*240 Pixel High Resolution this fashion smartwatch is covered to flaunt the sleek and stylish look always with 260 NITS Peak Brightness', 'The watch will work on a single charge for about 7 days (without Bluetooth calling) and about 4 Days with Bluetooth calling.', 'Charging Specs - The watch needs to be charged for 3 hours to reach 100%. The charger should be a 3.7V to 5V adapter or any laptop output. For a bare minimum of 20% charge the watch needs to be charged for about 30-40 mins', 'You cannot store Music in the watch, you can only control the music. 【Gaming On Wrist】- Enjoy playing games on the wrist itself as you are on the go. 【Breathe Function】- Ensure your breathing exercise is fit and healthy with the breathing function.', 'There is no volume control, however when connected to bt calling you can control the volume of the call. 【Smartphone Notifications】- Get all your mobile phone notifications on this 1.3"" Round Display Full touch smartwatch and never be late for a meeting, party or date.', 'Supported Applications - Notifcations from all social media channels (Instagram, Whatsapp, Facebook), Call Notifications, Health Tracking (SpO2, Heart Rate, Sleep), Sports Tracking & many more (This is not a medical device)', '【120+ Sports Modes】- Track each activity effectively with this smartwatch & activity tracker. Track your calories, steps and much more while you are on your fitness journey. This fitness tracker has it all;【In Built Mic & Speaker】- Get HD calling experience with this power-packed watch. Enhance the look of your wrist with attractive colors and sleek finish', '【Smart Health】- With the latest HRS3300 technology track your heart rate anytime of the day or even while you perform some activity. The optical sensors assure results so accurate. Monitor your blood oxygen levels to stay fit and healthy', 'Package Contains - 1 Smartwatch, 1 Charging Cable, 1 Manual, 1 Warranty Card']","44,384 ratings",4.2 out of 5 stars,https://m.media-amazon.com/images/I/411JSvfkGQL._SX300_SY300_QL70_ML2_.jpg
